"measure","value"
"LIFT computed using virtual temperature","-1.66"
"SWEAT index","182.41"
"K index","34.60"
"Cross totals index","20.80"
"Vertical totals index","25.10"
"Totals totals index","45.90"
"Convective Available Potential Energy","104.25"
"CAPE using virtual temperature","131.03"
"Convective Inhibition","-162.76"
"CINS using virtual temperature","-127.74"
"Equilibrum Level","471.24"
"Equilibrum Level using virtual temperature","465.24"
"Level of Free Convection","655.84"
"LFCT using virtual temperature","672.44"
"Bulk Richardson Number","207.87"
"Bulk Richardson Number using CAPV","261.27"
"Temp [K] of the Lifted Condensation Level","292.30"
"Pres [hPa] of the Lifted Condensation Level","930.00"
"Mean mixed layer potential temperature","298.44"
"Mean mixed layer mixing ratio","15.28"
"1000 hPa to 500 hPa thickness","5756.00"
"Precipitable water [mm] for entire sounding","51.18"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150122/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.10"
"Lifted index","0.42"
"LIFT computed using virtual temperature","0.37"
"SWEAT index","220.82"
"K index","37.50"
"Cross totals index","21.60"
"Vertical totals index","22.70"
"Totals totals index","44.30"
"Convective Available Potential Energy","0.16"
"CAPE using virtual temperature","0.75"
"Convective Inhibition","-146.01"
"CINS using virtual temperature","-146.79"
"Equilibrum Level","481.64"
"Equilibrum Level using virtual temperature","478.81"
"Level of Free Convection","488.12"
"LFCT using virtual temperature","490.65"
"Bulk Richardson Number","0.04"
"Bulk Richardson Number using CAPV","0.17"
"Temp [K] of the Lifted Condensation Level","290.19"
"Pres [hPa] of the Lifted Condensation Level","899.92"
"Mean mixed layer potential temperature","299.08"
"Mean mixed layer mixing ratio","13.79"
"1000 hPa to 500 hPa thickness","5750.00"
"Precipitable water [mm] for entire sounding","57.64"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150123/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.39"
"Lifted index","1.60"
"LIFT computed using virtual temperature","1.20"
"SWEAT index","176.01"
"K index","30.60"
"Cross totals index","18.60"
"Vertical totals index","22.90"
"Totals totals index","41.50"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.58"
"Pres [hPa] of the Lifted Condensation Level","918.19"
"Mean mixed layer potential temperature","297.76"
"Mean mixed layer mixing ratio","13.84"
"1000 hPa to 500 hPa thickness","5752.00"
"Precipitable water [mm] for entire sounding","47.21"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150123/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.58"
"Lifted index","-0.62"
"LIFT computed using virtual temperature","-0.91"
"SWEAT index","194.81"
"K index","33.40"
"Cross totals index","19.80"
"Vertical totals index","24.10"
"Totals totals index","43.90"
"Convective Available Potential Energy","87.60"
"CAPE using virtual temperature","148.34"
"Convective Inhibition","-158.07"
"CINS using virtual temperature","-124.61"
"Equilibrum Level","337.94"
"Equilibrum Level using virtual temperature","336.77"
"Level of Free Convection","647.35"
"LFCT using virtual temperature","705.24"
"Bulk Richardson Number","7.20"
"Bulk Richardson Number using CAPV","12.18"
"Temp [K] of the Lifted Condensation Level","291.01"
"Pres [hPa] of the Lifted Condensation Level","891.40"
"Mean mixed layer potential temperature","300.74"
"Mean mixed layer mixing ratio","14.68"
"1000 hPa to 500 hPa thickness","5773.00"
"Precipitable water [mm] for entire sounding","50.00"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150124/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.06"
"Lifted index","1.23"
"LIFT computed using virtual temperature","1.06"
"SWEAT index","174.00"
"K index","31.20"
"Cross totals index","19.60"
"Vertical totals index","23.70"
"Totals totals index","43.30"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.98"
"Pres [hPa] of the Lifted Condensation Level","922.51"
"Mean mixed layer potential temperature","297.77"
"Mean mixed layer mixing ratio","14.15"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","48.77"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150103/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.38"
"Lifted index","-0.30"
"LIFT computed using virtual temperature","-0.45"
"SWEAT index","210.01"
"K index","35.40"
"Cross totals index","20.60"
"Vertical totals index","24.70"
"Totals totals index","45.30"
"Convective Available Potential Energy","14.47"
"CAPE using virtual temperature","20.64"
"Convective Inhibition","-121.91"
"CINS using virtual temperature","-113.29"
"Equilibrum Level","494.02"
"Equilibrum Level using virtual temperature","490.92"
"Level of Free Convection","772.12"
"LFCT using virtual temperature","776.61"
"Bulk Richardson Number","0.44"
"Bulk Richardson Number using CAPV","0.63"
"Temp [K] of the Lifted Condensation Level","291.85"
"Pres [hPa] of the Lifted Condensation Level","920.18"
"Mean mixed layer potential temperature","298.88"
"Mean mixed layer mixing ratio","14.99"
"1000 hPa to 500 hPa thickness","5774.00"
"Precipitable water [mm] for entire sounding","55.06"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150124/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.73"
"Lifted index","-0.27"
"LIFT computed using virtual temperature","-0.77"
"SWEAT index","190.41"
"K index","34.00"
"Cross totals index","19.60"
"Vertical totals index","23.30"
"Totals totals index","42.90"
"Convective Available Potential Energy","231.50"
"CAPE using virtual temperature","312.12"
"Convective Inhibition","-125.09"
"CINS using virtual temperature","-95.20"
"Equilibrum Level","245.77"
"Equilibrum Level using virtual temperature","245.99"
"Level of Free Convection","659.95"
"LFCT using virtual temperature","706.56"
"Bulk Richardson Number","52.49"
"Bulk Richardson Number using CAPV","70.77"
"Temp [K] of the Lifted Condensation Level","291.71"
"Pres [hPa] of the Lifted Condensation Level","897.96"
"Mean mixed layer potential temperature","300.83"
"Mean mixed layer mixing ratio","15.25"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","51.82"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150125/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.80"
"Lifted index","1.57"
"LIFT computed using virtual temperature","1.07"
"SWEAT index","198.01"
"K index","32.00"
"Cross totals index","19.00"
"Vertical totals index","21.90"
"Totals totals index","40.90"
"Convective Available Potential Energy","2.68"
"CAPE using virtual temperature","9.41"
"Convective Inhibition","-387.41"
"CINS using virtual temperature","-291.77"
"Equilibrum Level","375.14"
"Equilibrum Level using virtual temperature","370.98"
"Level of Free Convection","412.58"
"LFCT using virtual temperature","432.54"
"Bulk Richardson Number","0.41"
"Bulk Richardson Number using CAPV","1.42"
"Temp [K] of the Lifted Condensation Level","291.62"
"Pres [hPa] of the Lifted Condensation Level","918.66"
"Mean mixed layer potential temperature","298.78"
"Mean mixed layer mixing ratio","14.80"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","47.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150125/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.85"
"Lifted index","-1.42"
"LIFT computed using virtual temperature","-2.07"
"SWEAT index","211.00"
"K index","35.10"
"Cross totals index","19.60"
"Vertical totals index","22.30"
"Totals totals index","41.90"
"Convective Available Potential Energy","1132.93"
"CAPE using virtual temperature","1310.17"
"Convective Inhibition","-42.33"
"CINS using virtual temperature","-27.40"
"Equilibrum Level","148.31"
"Equilibrum Level using virtual temperature","148.28"
"Level of Free Convection","812.39"
"LFCT using virtual temperature","852.41"
"Bulk Richardson Number","191.71"
"Bulk Richardson Number using CAPV","221.70"
"Temp [K] of the Lifted Condensation Level","293.66"
"Pres [hPa] of the Lifted Condensation Level","915.55"
"Mean mixed layer potential temperature","301.17"
"Mean mixed layer mixing ratio","16.93"
"1000 hPa to 500 hPa thickness","5783.00"
"Precipitable water [mm] for entire sounding","49.85"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150126/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.52"
"Lifted index","-1.21"
"LIFT computed using virtual temperature","-1.72"
"SWEAT index","205.00"
"K index","31.70"
"Cross totals index","20.30"
"Vertical totals index","22.70"
"Totals totals index","43.00"
"Convective Available Potential Energy","519.18"
"CAPE using virtual temperature","668.19"
"Convective Inhibition","-58.88"
"CINS using virtual temperature","-34.65"
"Equilibrum Level","195.23"
"Equilibrum Level using virtual temperature","194.20"
"Level of Free Convection","705.02"
"LFCT using virtual temperature","823.68"
"Bulk Richardson Number","198.35"
"Bulk Richardson Number using CAPV","255.28"
"Temp [K] of the Lifted Condensation Level","293.96"
"Pres [hPa] of the Lifted Condensation Level","947.05"
"Mean mixed layer potential temperature","298.58"
"Mean mixed layer mixing ratio","16.65"
"1000 hPa to 500 hPa thickness","5777.00"
"Precipitable water [mm] for entire sounding","46.46"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150126/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.00"
"Lifted index","-1.20"
"LIFT computed using virtual temperature","-1.80"
"SWEAT index","206.60"
"K index","31.40"
"Cross totals index","19.60"
"Vertical totals index","23.10"
"Totals totals index","42.70"
"Convective Available Potential Energy","296.51"
"CAPE using virtual temperature","398.56"
"Convective Inhibition","-86.23"
"CINS using virtual temperature","-56.95"
"Equilibrum Level","217.18"
"Equilibrum Level using virtual temperature","217.11"
"Level of Free Convection","692.40"
"LFCT using virtual temperature","736.54"
"Bulk Richardson Number","24.00"
"Bulk Richardson Number using CAPV","32.26"
"Temp [K] of the Lifted Condensation Level","291.99"
"Pres [hPa] of the Lifted Condensation Level","896.63"
"Mean mixed layer potential temperature","301.25"
"Mean mixed layer mixing ratio","15.54"
"1000 hPa to 500 hPa thickness","5787.00"
"Precipitable water [mm] for entire sounding","48.91"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150127/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.23"
"Lifted index","-1.24"
"LIFT computed using virtual temperature","-1.50"
"SWEAT index","201.40"
"K index","32.20"
"Cross totals index","21.20"
"Vertical totals index","24.50"
"Totals totals index","45.70"
"Convective Available Potential Energy","64.22"
"CAPE using virtual temperature","102.24"
"Convective Inhibition","-240.53"
"CINS using virtual temperature","-189.68"
"Equilibrum Level","429.51"
"Equilibrum Level using virtual temperature","397.81"
"Level of Free Convection","578.84"
"LFCT using virtual temperature","601.41"
"Bulk Richardson Number","27.02"
"Bulk Richardson Number using CAPV","43.01"
"Temp [K] of the Lifted Condensation Level","291.55"
"Pres [hPa] of the Lifted Condensation Level","920.10"
"Mean mixed layer potential temperature","298.58"
"Mean mixed layer mixing ratio","14.71"
"1000 hPa to 500 hPa thickness","5767.00"
"Precipitable water [mm] for entire sounding","46.49"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150127/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.86"
"Lifted index","-3.67"
"LIFT computed using virtual temperature","-4.38"
"SWEAT index","238.21"
"K index","36.70"
"Cross totals index","21.50"
"Vertical totals index","23.70"
"Totals totals index","45.20"
"Convective Available Potential Energy","1405.60"
"CAPE using virtual temperature","1559.46"
"Convective Inhibition","-30.28"
"CINS using virtual temperature","-21.27"
"Equilibrum Level","155.20"
"Equilibrum Level using virtual temperature","154.99"
"Level of Free Convection","861.29"
"LFCT using virtual temperature","873.69"
"Bulk Richardson Number","44.41"
"Bulk Richardson Number using CAPV","49.28"
"Temp [K] of the Lifted Condensation Level","293.97"
"Pres [hPa] of the Lifted Condensation Level","916.20"
"Mean mixed layer potential temperature","301.43"
"Mean mixed layer mixing ratio","17.24"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","55.25"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150128/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.23"
"Lifted index","-2.89"
"LIFT computed using virtual temperature","-3.29"
"SWEAT index","201.40"
"K index","33.80"
"Cross totals index","21.60"
"Vertical totals index","26.10"
"Totals totals index","47.70"
"Convective Available Potential Energy","153.10"
"CAPE using virtual temperature","221.49"
"Convective Inhibition","-170.24"
"CINS using virtual temperature","-117.75"
"Equilibrum Level","280.99"
"Equilibrum Level using virtual temperature","279.68"
"Level of Free Convection","607.95"
"LFCT using virtual temperature","630.12"
"Bulk Richardson Number","1030.29"
"Bulk Richardson Number using CAPV","1490.54"
"Temp [K] of the Lifted Condensation Level","292.42"
"Pres [hPa] of the Lifted Condensation Level","922.04"
"Mean mixed layer potential temperature","299.29"
"Mean mixed layer mixing ratio","15.52"
"1000 hPa to 500 hPa thickness","5769.00"
"Precipitable water [mm] for entire sounding","48.10"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150128/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.01"
"Lifted index","-1.32"
"LIFT computed using virtual temperature","-1.74"
"SWEAT index","222.61"
"K index","33.80"
"Cross totals index","20.20"
"Vertical totals index","24.50"
"Totals totals index","44.70"
"Convective Available Potential Energy","326.90"
"CAPE using virtual temperature","392.50"
"Convective Inhibition","-139.94"
"CINS using virtual temperature","-106.44"
"Equilibrum Level","301.06"
"Equilibrum Level using virtual temperature","299.78"
"Level of Free Convection","654.37"
"LFCT using virtual temperature","672.59"
"Bulk Richardson Number","240.40"
"Bulk Richardson Number using CAPV","288.63"
"Temp [K] of the Lifted Condensation Level","291.25"
"Pres [hPa] of the Lifted Condensation Level","886.10"
"Mean mixed layer potential temperature","301.51"
"Mean mixed layer mixing ratio","15.01"
"1000 hPa to 500 hPa thickness","5780.00"
"Precipitable water [mm] for entire sounding","52.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150129/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.20"
"Lifted index","-0.99"
"LIFT computed using virtual temperature","-1.52"
"SWEAT index","216.61"
"K index","31.20"
"Cross totals index","20.40"
"Vertical totals index","23.90"
"Totals totals index","44.30"
"Convective Available Potential Energy","55.71"
"CAPE using virtual temperature","114.36"
"Convective Inhibition","-175.82"
"CINS using virtual temperature","-62.97"
"Equilibrum Level","243.26"
"Equilibrum Level using virtual temperature","243.43"
"Level of Free Convection","584.02"
"LFCT using virtual temperature","799.60"
"Bulk Richardson Number","5.64"
"Bulk Richardson Number using CAPV","11.58"
"Temp [K] of the Lifted Condensation Level","292.13"
"Pres [hPa] of the Lifted Condensation Level","916.29"
"Mean mixed layer potential temperature","299.53"
"Mean mixed layer mixing ratio","15.34"
"1000 hPa to 500 hPa thickness","5778.00"
"Precipitable water [mm] for entire sounding","49.12"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150103/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.04"
"Lifted index","-2.81"
"LIFT computed using virtual temperature","-3.04"
"SWEAT index","222.80"
"K index","33.80"
"Cross totals index","20.20"
"Vertical totals index","23.90"
"Totals totals index","44.10"
"Convective Available Potential Energy","891.41"
"CAPE using virtual temperature","989.13"
"Convective Inhibition","-44.84"
"CINS using virtual temperature","-24.72"
"Equilibrum Level","148.19"
"Equilibrum Level using virtual temperature","148.10"
"Level of Free Convection","766.47"
"LFCT using virtual temperature","839.63"
"Bulk Richardson Number","41.90"
"Bulk Richardson Number using CAPV","46.50"
"Temp [K] of the Lifted Condensation Level","295.11"
"Pres [hPa] of the Lifted Condensation Level","950.84"
"Mean mixed layer potential temperature","299.41"
"Mean mixed layer mixing ratio","17.83"
"1000 hPa to 500 hPa thickness","5780.00"
"Precipitable water [mm] for entire sounding","59.04"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150129/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.66"
"Lifted index","-2.69"
"LIFT computed using virtual temperature","-3.13"
"SWEAT index","197.41"
"K index","40.20"
"Cross totals index","21.50"
"Vertical totals index","27.50"
"Totals totals index","49.00"
"Convective Available Potential Energy","158.26"
"CAPE using virtual temperature","184.73"
"Convective Inhibition","-190.69"
"CINS using virtual temperature","-169.99"
"Equilibrum Level","424.78"
"Equilibrum Level using virtual temperature","422.73"
"Level of Free Convection","649.80"
"LFCT using virtual temperature","654.70"
"Bulk Richardson Number","29.58"
"Bulk Richardson Number using CAPV","34.53"
"Temp [K] of the Lifted Condensation Level","291.98"
"Pres [hPa] of the Lifted Condensation Level","920.50"
"Mean mixed layer potential temperature","298.98"
"Mean mixed layer mixing ratio","15.12"
"1000 hPa to 500 hPa thickness","5768.00"
"Precipitable water [mm] for entire sounding","54.24"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150130/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.49"
"Lifted index","-0.37"
"LIFT computed using virtual temperature","-0.78"
"SWEAT index","201.00"
"K index","33.80"
"Cross totals index","21.20"
"Vertical totals index","24.30"
"Totals totals index","45.50"
"Convective Available Potential Energy","13.28"
"CAPE using virtual temperature","38.40"
"Convective Inhibition","-243.27"
"CINS using virtual temperature","-216.10"
"Equilibrum Level","480.47"
"Equilibrum Level using virtual temperature","440.35"
"Level of Free Convection","581.64"
"LFCT using virtual temperature","590.20"
"Bulk Richardson Number","1.10"
"Bulk Richardson Number using CAPV","3.17"
"Temp [K] of the Lifted Condensation Level","291.85"
"Pres [hPa] of the Lifted Condensation Level","928.59"
"Mean mixed layer potential temperature","298.11"
"Mean mixed layer mixing ratio","14.85"
"1000 hPa to 500 hPa thickness","5765.00"
"Precipitable water [mm] for entire sounding","50.50"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150130/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.98"
"Lifted index","-2.56"
"LIFT computed using virtual temperature","-3.24"
"SWEAT index","207.40"
"K index","39.20"
"Cross totals index","21.40"
"Vertical totals index","24.90"
"Totals totals index","46.30"
"Convective Available Potential Energy","338.51"
"CAPE using virtual temperature","455.28"
"Convective Inhibition","-59.26"
"CINS using virtual temperature","-41.46"
"Equilibrum Level","219.26"
"Equilibrum Level using virtual temperature","219.06"
"Level of Free Convection","776.72"
"LFCT using virtual temperature","796.18"
"Bulk Richardson Number","72.72"
"Bulk Richardson Number using CAPV","97.81"
"Temp [K] of the Lifted Condensation Level","291.20"
"Pres [hPa] of the Lifted Condensation Level","877.84"
"Mean mixed layer potential temperature","302.26"
"Mean mixed layer mixing ratio","15.10"
"1000 hPa to 500 hPa thickness","5778.00"
"Precipitable water [mm] for entire sounding","50.02"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150131/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.08"
"Lifted index","-0.08"
"LIFT computed using virtual temperature","-0.31"
"SWEAT index","209.81"
"K index","33.40"
"Cross totals index","20.40"
"Vertical totals index","24.50"
"Totals totals index","44.90"
"Convective Available Potential Energy","2.88"
"CAPE using virtual temperature","20.34"
"Convective Inhibition","-271.41"
"CINS using virtual temperature","-238.32"
"Equilibrum Level","496.50"
"Equilibrum Level using virtual temperature","465.72"
"Level of Free Convection","598.94"
"LFCT using virtual temperature","612.90"
"Bulk Richardson Number","0.73"
"Bulk Richardson Number using CAPV","5.15"
"Temp [K] of the Lifted Condensation Level","290.69"
"Pres [hPa] of the Lifted Condensation Level","901.28"
"Mean mixed layer potential temperature","299.47"
"Mean mixed layer mixing ratio","14.22"
"1000 hPa to 500 hPa thickness","5772.00"
"Precipitable water [mm] for entire sounding","48.56"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150131/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.58"
"Lifted index","-2.33"
"LIFT computed using virtual temperature","-2.99"
"SWEAT index","223.41"
"K index","38.10"
"Cross totals index","21.00"
"Vertical totals index","24.50"
"Totals totals index","45.50"
"Convective Available Potential Energy","356.85"
"CAPE using virtual temperature","489.39"
"Convective Inhibition","-75.89"
"CINS using virtual temperature","-53.44"
"Equilibrum Level","240.13"
"Equilibrum Level using virtual temperature","240.63"
"Level of Free Convection","758.50"
"LFCT using virtual temperature","781.02"
"Bulk Richardson Number","31.19"
"Bulk Richardson Number using CAPV","42.77"
"Temp [K] of the Lifted Condensation Level","292.44"
"Pres [hPa] of the Lifted Condensation Level","905.67"
"Mean mixed layer potential temperature","300.85"
"Mean mixed layer mixing ratio","15.86"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","49.13"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150107/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.82"
"Lifted index","-0.36"
"LIFT computed using virtual temperature","-0.45"
"SWEAT index","219.41"
"K index","33.90"
"Cross totals index","19.10"
"Vertical totals index","24.10"
"Totals totals index","43.20"
"Convective Available Potential Energy","73.04"
"CAPE using virtual temperature","93.27"
"Convective Inhibition","-207.96"
"CINS using virtual temperature","-132.81"
"Equilibrum Level","338.73"
"Equilibrum Level using virtual temperature","338.82"
"Level of Free Convection","599.73"
"LFCT using virtual temperature","708.23"
"Bulk Richardson Number","2.66"
"Bulk Richardson Number using CAPV","3.40"
"Temp [K] of the Lifted Condensation Level","292.75"
"Pres [hPa] of the Lifted Condensation Level","922.94"
"Mean mixed layer potential temperature","299.56"
"Mean mixed layer mixing ratio","15.85"
"1000 hPa to 500 hPa thickness","5793.00"
"Precipitable water [mm] for entire sounding","55.99"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150108/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.49"
"Lifted index","0.57"
"LIFT computed using virtual temperature","0.35"
"SWEAT index","217.20"
"K index","31.80"
"Cross totals index","19.20"
"Vertical totals index","22.70"
"Totals totals index","41.90"
"Convective Available Potential Energy","26.40"
"CAPE using virtual temperature","35.94"
"Convective Inhibition","-137.84"
"CINS using virtual temperature","-104.73"
"Equilibrum Level","437.52"
"Equilibrum Level using virtual temperature","437.00"
"Level of Free Convection","604.78"
"LFCT using virtual temperature","627.53"
"Bulk Richardson Number","1.06"
"Bulk Richardson Number using CAPV","1.44"
"Temp [K] of the Lifted Condensation Level","292.87"
"Pres [hPa] of the Lifted Condensation Level","944.24"
"Mean mixed layer potential temperature","297.73"
"Mean mixed layer mixing ratio","15.58"
"1000 hPa to 500 hPa thickness","5771.00"
"Precipitable water [mm] for entire sounding","54.07"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150108/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.32"
"Lifted index","-3.33"
"LIFT computed using virtual temperature","-3.62"
"SWEAT index","216.42"
"K index","30.20"
"Cross totals index","20.20"
"Vertical totals index","23.50"
"Totals totals index","43.70"
"Convective Available Potential Energy","1111.37"
"CAPE using virtual temperature","1217.94"
"Convective Inhibition","-3.20"
"CINS using virtual temperature","-2.15"
"Equilibrum Level","162.81"
"Equilibrum Level using virtual temperature","162.40"
"Level of Free Convection","925.15"
"LFCT using virtual temperature","930.52"
"Bulk Richardson Number","126.78"
"Bulk Richardson Number using CAPV","138.94"
"Temp [K] of the Lifted Condensation Level","295.26"
"Pres [hPa] of the Lifted Condensation Level","949.23"
"Mean mixed layer potential temperature","299.70"
"Mean mixed layer mixing ratio","18.02"
"1000 hPa to 500 hPa thickness","5788.00"
"Precipitable water [mm] for entire sounding","57.75"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150109/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.00"
"Lifted index","-2.35"
"LIFT computed using virtual temperature","-2.52"
"SWEAT index","226.00"
"K index","34.40"
"Cross totals index","21.80"
"Vertical totals index","24.70"
"Totals totals index","46.50"
"Convective Available Potential Energy","131.90"
"CAPE using virtual temperature","183.03"
"Convective Inhibition","-56.54"
"CINS using virtual temperature","-46.86"
"Equilibrum Level","255.87"
"Equilibrum Level using virtual temperature","255.41"
"Level of Free Convection","788.94"
"LFCT using virtual temperature","801.30"
"Bulk Richardson Number","4.85"
"Bulk Richardson Number using CAPV","6.73"
"Temp [K] of the Lifted Condensation Level","293.37"
"Pres [hPa] of the Lifted Condensation Level","945.78"
"Mean mixed layer potential temperature","298.10"
"Mean mixed layer mixing ratio","16.07"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","54.28"
