"measure","value"
"Mean mixed layer potential temperature","301.09"
"Mean mixed layer mixing ratio","18.76"
"1000 hPa to 500 hPa thickness","5787.00"
"Precipitable water [mm] for entire sounding","59.83"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150304/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.30"
"Lifted index","0.64"
"LIFT computed using virtual temperature","0.47"
"SWEAT index","178.41"
"K index","30.80"
"Cross totals index","18.40"
"Vertical totals index","23.10"
"Totals totals index","41.50"
"Convective Available Potential Energy","1.41"
"CAPE using virtual temperature","3.85"
"Convective Inhibition","-247.07"
"CINS using virtual temperature","-217.51"
"Equilibrum Level","564.37"
"Equilibrum Level using virtual temperature","553.20"
"Level of Free Convection","590.19"
"LFCT using virtual temperature","595.65"
"Bulk Richardson Number","0.14"
"Bulk Richardson Number using CAPV","0.39"
"Temp [K] of the Lifted Condensation Level","291.55"
"Pres [hPa] of the Lifted Condensation Level","921.38"
"Mean mixed layer potential temperature","298.47"
"Mean mixed layer mixing ratio","14.69"
"1000 hPa to 500 hPa thickness","5770.00"
"Precipitable water [mm] for entire sounding","53.31"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150304/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.45"
"Lifted index","-3.26"
"LIFT computed using virtual temperature","-3.61"
"SWEAT index","202.41"
"K index","35.00"
"Cross totals index","20.40"
"Vertical totals index","24.90"
"Totals totals index","45.30"
"Convective Available Potential Energy","1077.07"
"CAPE using virtual temperature","1182.42"
"Convective Inhibition","-61.94"
"CINS using virtual temperature","-39.07"
"Equilibrum Level","143.22"
"Equilibrum Level using virtual temperature","142.89"
"Level of Free Convection","766.52"
"LFCT using virtual temperature","807.50"
"Bulk Richardson Number","135.18"
"Bulk Richardson Number using CAPV","148.41"
"Temp [K] of the Lifted Condensation Level","293.93"
"Pres [hPa] of the Lifted Condensation Level","918.64"
"Mean mixed layer potential temperature","301.17"
"Mean mixed layer mixing ratio","17.15"
"1000 hPa to 500 hPa thickness","5780.00"
"Precipitable water [mm] for entire sounding","57.62"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150305/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.64"
"Lifted index","-2.08"
"LIFT computed using virtual temperature","-2.28"
"SWEAT index","181.61"
"K index","32.40"
"Cross totals index","19.00"
"Vertical totals index","23.30"
"Totals totals index","42.30"
"Convective Available Potential Energy","713.20"
"CAPE using virtual temperature","798.06"
"Convective Inhibition","-37.62"
"CINS using virtual temperature","-21.88"
"Equilibrum Level","145.97"
"Equilibrum Level using virtual temperature","145.88"
"Level of Free Convection","816.67"
"LFCT using virtual temperature","857.41"
"Bulk Richardson Number","144.45"
"Bulk Richardson Number using CAPV","161.64"
"Temp [K] of the Lifted Condensation Level","294.38"
"Pres [hPa] of the Lifted Condensation Level","950.25"
"Mean mixed layer potential temperature","298.71"
"Mean mixed layer mixing ratio","17.04"
"1000 hPa to 500 hPa thickness","5770.00"
"Precipitable water [mm] for entire sounding","56.58"
