"measure","value"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150201/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.66"
"Lifted index","0.41"
"LIFT computed using virtual temperature","0.10"
"SWEAT index","187.81"
"K index","28.90"
"Cross totals index","18.50"
"Vertical totals index","24.50"
"Totals totals index","43.00"
"Convective Available Potential Energy","6.26"
"CAPE using virtual temperature","30.13"
"Convective Inhibition","-248.87"
"CINS using virtual temperature","-173.31"
"Equilibrum Level","511.39"
"Equilibrum Level using virtual temperature","474.40"
"Level of Free Convection","556.74"
"LFCT using virtual temperature","649.66"
"Bulk Richardson Number","2.08"
"Bulk Richardson Number using CAPV","10.01"
"Temp [K] of the Lifted Condensation Level","291.10"
"Pres [hPa] of the Lifted Condensation Level","912.67"
"Mean mixed layer potential temperature","298.81"
"Mean mixed layer mixing ratio","14.41"
"1000 hPa to 500 hPa thickness","5761.00"
"Precipitable water [mm] for entire sounding","44.43"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150206/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.11"
"Lifted index","-1.54"
"LIFT computed using virtual temperature","-1.92"
"SWEAT index","190.41"
"K index","34.10"
"Cross totals index","19.80"
"Vertical totals index","22.30"
"Totals totals index","42.10"
"Convective Available Potential Energy","547.68"
"CAPE using virtual temperature","661.17"
"Convective Inhibition","-26.94"
"CINS using virtual temperature","-15.91"
"Equilibrum Level","185.47"
"Equilibrum Level using virtual temperature","184.55"
"Level of Free Convection","853.62"
"LFCT using virtual temperature","872.85"
"Bulk Richardson Number","79.41"
"Bulk Richardson Number using CAPV","95.87"
"Temp [K] of the Lifted Condensation Level","293.42"
"Pres [hPa] of the Lifted Condensation Level","924.12"
"Mean mixed layer potential temperature","300.13"
"Mean mixed layer mixing ratio","16.53"
"1000 hPa to 500 hPa thickness","5776.00"
"Precipitable water [mm] for entire sounding","54.07"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150207/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.61"
"Lifted index","1.51"
"LIFT computed using virtual temperature","1.34"
"SWEAT index","194.80"
"K index","34.50"
"Cross totals index","20.70"
"Vertical totals index","21.70"
"Totals totals index","42.40"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","291.58"
"Pres [hPa] of the Lifted Condensation Level","929.43"
"Mean mixed layer potential temperature","297.75"
"Mean mixed layer mixing ratio","14.58"
"1000 hPa to 500 hPa thickness","5759.00"
"Precipitable water [mm] for entire sounding","53.69"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150207/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.27"
"Lifted index","-1.96"
"LIFT computed using virtual temperature","-2.44"
"SWEAT index","211.61"
"K index","36.70"
"Cross totals index","21.00"
"Vertical totals index","22.30"
"Totals totals index","43.30"
"Convective Available Potential Energy","894.90"
"CAPE using virtual temperature","990.73"
"Convective Inhibition","-12.17"
"CINS using virtual temperature","-3.22"
"Equilibrum Level","163.16"
"Equilibrum Level using virtual temperature","163.05"
"Level of Free Convection","863.83"
"LFCT using virtual temperature","889.34"
"Bulk Richardson Number","138.47"
"Bulk Richardson Number using CAPV","153.30"
"Temp [K] of the Lifted Condensation Level","293.75"
"Pres [hPa] of the Lifted Condensation Level","919.00"
"Mean mixed layer potential temperature","300.94"
"Mean mixed layer mixing ratio","16.95"
"1000 hPa to 500 hPa thickness","5774.00"
"Precipitable water [mm] for entire sounding","60.15"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150208/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.29"
"Lifted index","-0.39"
"LIFT computed using virtual temperature","-0.50"
"SWEAT index","204.41"
"K index","34.80"
"Cross totals index","21.30"
"Vertical totals index","23.10"
"Totals totals index","44.40"
"Convective Available Potential Energy","34.98"
"CAPE using virtual temperature","45.95"
"Convective Inhibition","-116.20"
"CINS using virtual temperature","-95.62"
"Equilibrum Level","485.16"
"Equilibrum Level using virtual temperature","482.39"
"Level of Free Convection","646.99"
"LFCT using virtual temperature","664.29"
"Bulk Richardson Number","11.10"
"Bulk Richardson Number using CAPV","14.57"
"Temp [K] of the Lifted Condensation Level","292.54"
"Pres [hPa] of the Lifted Condensation Level","936.42"
"Mean mixed layer potential temperature","298.10"
"Mean mixed layer mixing ratio","15.39"
"1000 hPa to 500 hPa thickness","5757.00"
"Precipitable water [mm] for entire sounding","56.93"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150208/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.47"
"Lifted index","-2.82"
"LIFT computed using virtual temperature","-3.06"
"SWEAT index","202.80"
"K index","35.50"
"Cross totals index","21.20"
"Vertical totals index","22.90"
"Totals totals index","44.10"
"Convective Available Potential Energy","1078.69"
"CAPE using virtual temperature","1166.99"
"Convective Inhibition","-16.52"
"CINS using virtual temperature","-6.87"
"Equilibrum Level","163.18"
"Equilibrum Level using virtual temperature","163.12"
"Level of Free Convection","868.53"
"LFCT using virtual temperature","887.54"
"Bulk Richardson Number","205.81"
"Bulk Richardson Number using CAPV","222.66"
"Temp [K] of the Lifted Condensation Level","293.92"
"Pres [hPa] of the Lifted Condensation Level","919.09"
"Mean mixed layer potential temperature","301.11"
"Mean mixed layer mixing ratio","17.16"
"1000 hPa to 500 hPa thickness","5778.00"
"Precipitable water [mm] for entire sounding","61.04"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150209/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.21"
"Lifted index","-0.82"
"LIFT computed using virtual temperature","-1.00"
"SWEAT index","190.00"
"K index","36.30"
"Cross totals index","20.70"
"Vertical totals index","22.90"
"Totals totals index","43.60"
"Convective Available Potential Energy","143.58"
"CAPE using virtual temperature","177.25"
"Convective Inhibition","-65.50"
"CINS using virtual temperature","-52.26"
"Equilibrum Level","399.51"
"Equilibrum Level using virtual temperature","386.94"
"Level of Free Convection","715.92"
"LFCT using virtual temperature","753.18"
"Bulk Richardson Number","4357.09"
"Bulk Richardson Number using CAPV","5378.66"
"Temp [K] of the Lifted Condensation Level","293.36"
"Pres [hPa] of the Lifted Condensation Level","944.15"
"Mean mixed layer potential temperature","298.23"
"Mean mixed layer mixing ratio","16.08"
"1000 hPa to 500 hPa thickness","5764.00"
"Precipitable water [mm] for entire sounding","58.61"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150209/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.11"
"Lifted index","-2.92"
"LIFT computed using virtual temperature","-3.16"
"SWEAT index","210.01"
"K index","36.10"
"Cross totals index","21.00"
"Vertical totals index","22.30"
"Totals totals index","43.30"
"Convective Available Potential Energy","1202.51"
"CAPE using virtual temperature","1304.16"
"Convective Inhibition","-6.79"
"CINS using virtual temperature","-3.22"
"Equilibrum Level","149.05"
"Equilibrum Level using virtual temperature","149.00"
"Level of Free Convection","907.42"
"LFCT using virtual temperature","919.83"
"Bulk Richardson Number","772.05"
"Bulk Richardson Number using CAPV","837.32"
"Temp [K] of the Lifted Condensation Level","294.38"
"Pres [hPa] of the Lifted Condensation Level","932.92"
"Mean mixed layer potential temperature","300.29"
"Mean mixed layer mixing ratio","17.37"
"1000 hPa to 500 hPa thickness","5773.00"
"Precipitable water [mm] for entire sounding","60.63"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150210/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.11"
"Lifted index","-0.71"
"LIFT computed using virtual temperature","-0.89"
"SWEAT index","201.61"
"K index","34.00"
"Cross totals index","21.00"
"Vertical totals index","22.50"
"Totals totals index","43.50"
"Convective Available Potential Energy","66.46"
"CAPE using virtual temperature","90.56"
"Convective Inhibition","-62.45"
"CINS using virtual temperature","-40.59"
"Equilibrum Level","451.36"
"Equilibrum Level using virtual temperature","351.68"
"Level of Free Convection","667.61"
"LFCT using virtual temperature","681.57"
"Bulk Richardson Number","16.54"
"Bulk Richardson Number using CAPV","22.53"
"Temp [K] of the Lifted Condensation Level","293.58"
"Pres [hPa] of the Lifted Condensation Level","951.84"
"Mean mixed layer potential temperature","297.76"
"Mean mixed layer mixing ratio","16.17"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","57.20"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150210/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.09"
"Lifted index","-1.72"
"LIFT computed using virtual temperature","-1.91"
"SWEAT index","214.81"
"K index","37.10"
"Cross totals index","22.10"
"Vertical totals index","22.70"
"Totals totals index","44.80"
"Convective Available Potential Energy","377.95"
"CAPE using virtual temperature","442.72"
"Convective Inhibition","-16.64"
"CINS using virtual temperature","-13.53"
"Equilibrum Level","285.85"
"Equilibrum Level using virtual temperature","286.80"
"Level of Free Convection","850.26"
"LFCT using virtual temperature","859.90"
"Bulk Richardson Number","790.08"
"Bulk Richardson Number using CAPV","925.47"
"Temp [K] of the Lifted Condensation Level","294.28"
"Pres [hPa] of the Lifted Condensation Level","953.70"
"Mean mixed layer potential temperature","298.30"
"Mean mixed layer mixing ratio","16.87"
"1000 hPa to 500 hPa thickness","5757.00"
"Precipitable water [mm] for entire sounding","60.07"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150211/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.11"
"Lifted index","0.84"
"LIFT computed using virtual temperature","0.71"
"SWEAT index","206.01"
"K index","35.30"
"Cross totals index","19.90"
"Vertical totals index","21.90"
"Totals totals index","41.80"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","292.33"
"Pres [hPa] of the Lifted Condensation Level","931.51"
"Mean mixed layer potential temperature","298.33"
"Mean mixed layer mixing ratio","15.28"
"1000 hPa to 500 hPa thickness","5773.00"
"Precipitable water [mm] for entire sounding","58.15"
