"measure","value"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150202/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.00"
"Lifted index","0.36"
"LIFT computed using virtual temperature","0.17"
"SWEAT index","200.01"
"K index","32.00"
"Cross totals index","20.00"
"Vertical totals index","22.50"
"Totals totals index","42.50"
"Convective Available Potential Energy","1.34"
"CAPE using virtual temperature","11.58"
"Convective Inhibition","-163.90"
"CINS using virtual temperature","-124.93"
"Equilibrum Level","546.11"
"Equilibrum Level using virtual temperature","520.70"
"Level of Free Convection","583.79"
"LFCT using virtual temperature","612.80"
"Bulk Richardson Number","0.47"
"Bulk Richardson Number using CAPV","4.02"
"Temp [K] of the Lifted Condensation Level","292.14"
"Pres [hPa] of the Lifted Condensation Level","928.40"
"Mean mixed layer potential temperature","298.42"
"Mean mixed layer mixing ratio","15.13"
"1000 hPa to 500 hPa thickness","5758.00"
"Precipitable water [mm] for entire sounding","52.39"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150211/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.28"
"Lifted index","-2.12"
"LIFT computed using virtual temperature","-2.45"
"SWEAT index","224.02"
"K index","38.60"
"Cross totals index","22.10"
"Vertical totals index","24.50"
"Totals totals index","46.60"
"Convective Available Potential Energy","98.85"
"CAPE using virtual temperature","117.92"
"Convective Inhibition","-69.64"
"CINS using virtual temperature","-55.30"
"Equilibrum Level","488.12"
"Equilibrum Level using virtual temperature","486.23"
"Level of Free Convection","725.51"
"LFCT using virtual temperature","741.79"
"Bulk Richardson Number","30.25"
"Bulk Richardson Number using CAPV","36.08"
"Temp [K] of the Lifted Condensation Level","293.19"
"Pres [hPa] of the Lifted Condensation Level","941.52"
"Mean mixed layer potential temperature","298.31"
"Mean mixed layer mixing ratio","15.97"
"1000 hPa to 500 hPa thickness","5766.00"
"Precipitable water [mm] for entire sounding","57.97"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150212/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.90"
"Lifted index","-0.83"
"LIFT computed using virtual temperature","-0.98"
"SWEAT index","193.21"
"K index","34.50"
"Cross totals index","20.10"
"Vertical totals index","22.50"
"Totals totals index","42.60"
"Convective Available Potential Energy","203.85"
"CAPE using virtual temperature","250.46"
"Convective Inhibition","-30.02"
"CINS using virtual temperature","-7.10"
"Equilibrum Level","230.47"
"Equilibrum Level using virtual temperature","230.42"
"Level of Free Convection","692.00"
"LFCT using virtual temperature","700.92"
"Bulk Richardson Number","32.42"
"Bulk Richardson Number using CAPV","39.83"
"Temp [K] of the Lifted Condensation Level","294.36"
"Pres [hPa] of the Lifted Condensation Level","967.19"
"Mean mixed layer potential temperature","297.19"
"Mean mixed layer mixing ratio","16.71"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","56.47"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150212/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.58"
"Lifted index","-2.27"
"LIFT computed using virtual temperature","-2.96"
"SWEAT index","203.61"
"K index","35.70"
"Cross totals index","19.50"
"Vertical totals index","24.50"
"Totals totals index","44.00"
"Convective Available Potential Energy","499.44"
"CAPE using virtual temperature","619.64"
"Convective Inhibition","-70.09"
"CINS using virtual temperature","-47.40"
"Equilibrum Level","198.12"
"Equilibrum Level using virtual temperature","198.03"
"Level of Free Convection","777.03"
"LFCT using virtual temperature","798.84"
"Bulk Richardson Number","88.11"
"Bulk Richardson Number using CAPV","109.31"
"Temp [K] of the Lifted Condensation Level","293.07"
"Pres [hPa] of the Lifted Condensation Level","912.85"
"Mean mixed layer potential temperature","300.82"
"Mean mixed layer mixing ratio","16.34"
"1000 hPa to 500 hPa thickness","5767.00"
"Precipitable water [mm] for entire sounding","52.53"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150213/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","1.13"
"Lifted index","0.54"
"LIFT computed using virtual temperature","0.37"
"SWEAT index","187.21"
"K index","32.60"
"Cross totals index","19.60"
"Vertical totals index","23.90"
"Totals totals index","43.50"
"Convective Available Potential Energy","1.48"
"CAPE using virtual temperature","3.05"
"Convective Inhibition","-134.20"
"CINS using virtual temperature","-122.61"
"Equilibrum Level","460.33"
"Equilibrum Level using virtual temperature","459.66"
"Level of Free Convection","733.29"
"LFCT using virtual temperature","736.02"
"Bulk Richardson Number","0.81"
"Bulk Richardson Number using CAPV","1.66"
"Temp [K] of the Lifted Condensation Level","291.06"
"Pres [hPa] of the Lifted Condensation Level","919.99"
"Mean mixed layer potential temperature","298.09"
"Mean mixed layer mixing ratio","14.26"
"1000 hPa to 500 hPa thickness","5762.00"
"Precipitable water [mm] for entire sounding","47.73"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150213/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.87"
"Lifted index","-2.31"
"LIFT computed using virtual temperature","-2.60"
"SWEAT index","216.01"
"K index","36.60"
"Cross totals index","22.60"
"Vertical totals index","23.70"
"Totals totals index","46.30"
"Convective Available Potential Energy","341.98"
"CAPE using virtual temperature","421.47"
"Convective Inhibition","-70.55"
"CINS using virtual temperature","-43.35"
"Equilibrum Level","206.35"
"Equilibrum Level using virtual temperature","206.16"
"Level of Free Convection","705.58"
"LFCT using virtual temperature","747.36"
"Bulk Richardson Number","63.60"
"Bulk Richardson Number using CAPV","78.39"
"Temp [K] of the Lifted Condensation Level","292.70"
"Pres [hPa] of the Lifted Condensation Level","909.54"
"Mean mixed layer potential temperature","300.76"
"Mean mixed layer mixing ratio","16.06"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","54.89"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150214/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.28"
"Lifted index","-0.38"
"LIFT computed using virtual temperature","-0.51"
"SWEAT index","195.21"
"K index","36.20"
"Cross totals index","21.00"
"Vertical totals index","23.50"
"Totals totals index","44.50"
"Convective Available Potential Energy","36.55"
"CAPE using virtual temperature","71.31"
"Convective Inhibition","-117.00"
"CINS using virtual temperature","-97.90"
"Equilibrum Level","477.96"
"Equilibrum Level using virtual temperature","473.72"
"Level of Free Convection","646.84"
"LFCT using virtual temperature","722.97"
"Bulk Richardson Number","32.42"
"Bulk Richardson Number using CAPV","63.25"
"Temp [K] of the Lifted Condensation Level","292.39"
"Pres [hPa] of the Lifted Condensation Level","929.41"
"Mean mixed layer potential temperature","298.58"
"Mean mixed layer mixing ratio","15.36"
"1000 hPa to 500 hPa thickness","5762.00"
"Precipitable water [mm] for entire sounding","54.00"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150214/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.32"
"Lifted index","-1.06"
"LIFT computed using virtual temperature","-1.16"
"SWEAT index","192.01"
"K index","36.90"
"Cross totals index","20.00"
"Vertical totals index","23.90"
"Totals totals index","43.90"
"Convective Available Potential Energy","255.08"
"CAPE using virtual temperature","299.00"
"Convective Inhibition","-73.36"
"CINS using virtual temperature","-60.52"
"Equilibrum Level","257.19"
"Equilibrum Level using virtual temperature","255.53"
"Level of Free Convection","767.37"
"LFCT using virtual temperature","780.50"
"Bulk Richardson Number","148.44"
"Bulk Richardson Number using CAPV","174.00"
"Temp [K] of the Lifted Condensation Level","293.70"
"Pres [hPa] of the Lifted Condensation Level","946.08"
"Mean mixed layer potential temperature","298.40"
"Mean mixed layer mixing ratio","16.40"
"1000 hPa to 500 hPa thickness","5766.00"
"Precipitable water [mm] for entire sounding","59.41"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150215/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.14"
"Lifted index","-1.55"
"LIFT computed using virtual temperature","-1.69"
"SWEAT index","188.01"
"K index","32.80"
"Cross totals index","20.40"
"Vertical totals index","25.30"
"Totals totals index","45.70"
"Convective Available Potential Energy","231.16"
"CAPE using virtual temperature","271.24"
"Convective Inhibition","-143.10"
"CINS using virtual temperature","-103.67"
"Equilibrum Level","355.32"
"Equilibrum Level using virtual temperature","353.48"
"Level of Free Convection","687.75"
"LFCT using virtual temperature","718.95"
"Bulk Richardson Number","284.94"
"Bulk Richardson Number using CAPV","334.34"
"Temp [K] of the Lifted Condensation Level","293.29"
"Pres [hPa] of the Lifted Condensation Level","949.99"
"Mean mixed layer potential temperature","297.63"
"Mean mixed layer mixing ratio","15.91"
"1000 hPa to 500 hPa thickness","5761.00"
"Precipitable water [mm] for entire sounding","52.14"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150215/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.88"
"Lifted index","-4.79"
"LIFT computed using virtual temperature","-5.20"
"SWEAT index","229.21"
"K index","35.20"
"Cross totals index","23.60"
"Vertical totals index","24.10"
"Totals totals index","47.70"
"Convective Available Potential Energy","1674.45"
"CAPE using virtual temperature","1811.53"
"Convective Inhibition","-14.98"
"CINS using virtual temperature","-10.00"
"Equilibrum Level","154.50"
"Equilibrum Level using virtual temperature","154.51"
"Level of Free Convection","883.62"
"LFCT using virtual temperature","893.57"
"Bulk Richardson Number","224.47"
"Bulk Richardson Number using CAPV","242.85"
"Temp [K] of the Lifted Condensation Level","294.69"
"Pres [hPa] of the Lifted Condensation Level","926.32"
"Mean mixed layer potential temperature","301.23"
"Mean mixed layer mixing ratio","17.85"
"1000 hPa to 500 hPa thickness","5782.00"
"Precipitable water [mm] for entire sounding","59.86"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150216/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.13"
"Lifted index","0.78"
"LIFT computed using virtual temperature","0.48"
"SWEAT index","203.40"
"K index","32.60"
"Cross totals index","20.20"
"Vertical totals index","23.90"
"Totals totals index","44.10"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","3.40"
"Convective Inhibition","0.00"
"CINS using virtual temperature","-238.98"
"Equilibrum Level using virtual temperature","563.69"
"LFCT using virtual temperature","609.18"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.33"
"Temp [K] of the Lifted Condensation Level","291.29"
"Pres [hPa] of the Lifted Condensation Level","913.78"
"Mean mixed layer potential temperature","298.90"
"Mean mixed layer mixing ratio","14.57"
"1000 hPa to 500 hPa thickness","5771.00"
"Precipitable water [mm] for entire sounding","51.62"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150202/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.99"
"Lifted index","0.25"
"LIFT computed using virtual temperature","0.23"
"SWEAT index","214.41"
"K index","38.50"
"Cross totals index","22.10"
"Vertical totals index","22.70"
"Totals totals index","44.80"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","291.57"
"Pres [hPa] of the Lifted Condensation Level","918.71"
"Mean mixed layer potential temperature","298.73"
"Mean mixed layer mixing ratio","14.79"
"1000 hPa to 500 hPa thickness","5763.00"
"Precipitable water [mm] for entire sounding","62.02"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150216/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","0.13"
"Lifted index","-4.08"
"LIFT computed using virtual temperature","-4.64"
"SWEAT index","213.21"
"K index","34.40"
"Cross totals index","20.40"
"Vertical totals index","23.30"
"Totals totals index","43.70"
"Convective Available Potential Energy","1951.81"
"CAPE using virtual temperature","2135.38"
"Convective Inhibition","-11.76"
"CINS using virtual temperature","-4.93"
"Equilibrum Level","141.80"
"Equilibrum Level using virtual temperature","141.77"
"Level of Free Convection","888.86"
"LFCT using virtual temperature","911.46"
"Bulk Richardson Number","716.20"
"Bulk Richardson Number using CAPV","783.55"
"Temp [K] of the Lifted Condensation Level","295.23"
"Pres [hPa] of the Lifted Condensation Level","932.12"
"Mean mixed layer potential temperature","301.24"
"Mean mixed layer mixing ratio","18.37"
"1000 hPa to 500 hPa thickness","5784.00"
"Precipitable water [mm] for entire sounding","55.53"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150217/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.46"
"Lifted index","0.65"
"LIFT computed using virtual temperature","0.39"
"SWEAT index","201.61"
"K index","34.80"
"Cross totals index","21.00"
"Vertical totals index","23.70"
"Totals totals index","44.70"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","291.05"
"Pres [hPa] of the Lifted Condensation Level","908.99"
"Mean mixed layer potential temperature","299.11"
"Mean mixed layer mixing ratio","14.42"
"1000 hPa to 500 hPa thickness","5779.00"
"Precipitable water [mm] for entire sounding","52.22"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150217/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-1.16"
"Lifted index","-4.48"
"LIFT computed using virtual temperature","-5.03"
"SWEAT index","220.60"
"K index","35.90"
"Cross totals index","21.80"
"Vertical totals index","23.30"
"Totals totals index","45.10"
"Convective Available Potential Energy","792.68"
"CAPE using virtual temperature","928.94"
"Convective Inhibition","-3.92"
"CINS using virtual temperature","-2.70"
"Level of Free Convection","921.82"
"LFCT using virtual temperature","928.15"
"Bulk Richardson Number","111.03"
"Bulk Richardson Number using CAPV","130.11"
"Temp [K] of the Lifted Condensation Level","295.85"
"Pres [hPa] of the Lifted Condensation Level","945.46"
"Mean mixed layer potential temperature","300.64"
"Mean mixed layer mixing ratio","18.78"
"1000 hPa to 500 hPa thickness","5789.00"
"Precipitable water [mm] for entire sounding","58.55"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150218/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-0.48"
"Lifted index","-0.74"
"LIFT computed using virtual temperature","-0.87"
"SWEAT index","202.41"
"K index","34.80"
"Cross totals index","21.00"
"Vertical totals index","24.30"
"Totals totals index","45.30"
"Convective Available Potential Energy","18.59"
"CAPE using virtual temperature","25.26"
"Convective Inhibition","-249.83"
"CINS using virtual temperature","-209.66"
"Equilibrum Level","471.66"
"Equilibrum Level using virtual temperature","469.86"
"Level of Free Convection","536.84"
"LFCT using virtual temperature","548.48"
"Bulk Richardson Number","0.69"
"Bulk Richardson Number using CAPV","0.94"
"Temp [K] of the Lifted Condensation Level","292.33"
"Pres [hPa] of the Lifted Condensation Level","928.66"
"Mean mixed layer potential temperature","298.59"
"Mean mixed layer mixing ratio","15.32"
"1000 hPa to 500 hPa thickness","5777.00"
"Precipitable water [mm] for entire sounding","54.30"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150218/1200"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","-2.15"
"Lifted index","-4.71"
"LIFT computed using virtual temperature","-5.25"
"SWEAT index","222.41"
"K index","39.40"
"Cross totals index","22.60"
"Vertical totals index","24.10"
"Totals totals index","46.70"
"Convective Available Potential Energy","1720.91"
"CAPE using virtual temperature","1888.38"
"Convective Inhibition","-13.63"
"CINS using virtual temperature","-3.56"
"Equilibrum Level","147.57"
"Equilibrum Level using virtual temperature","147.58"
"Level of Free Convection","874.76"
"LFCT using virtual temperature","901.83"
"Bulk Richardson Number","1084.41"
"Bulk Richardson Number using CAPV","1189.93"
"Temp [K] of the Lifted Condensation Level","295.56"
"Pres [hPa] of the Lifted Condensation Level","940.44"
"Mean mixed layer potential temperature","300.81"
"Mean mixed layer mixing ratio","18.54"
"1000 hPa to 500 hPa thickness","5781.00"
"Precipitable water [mm] for entire sounding","57.83"
"Station identifier","WAML"
"Station number","97072"
"Observation time","150220/0000"
"Station latitude","-0.68"
"Station longitude","119.73"
"Station elevation","6.0"
"Showalter index","2.58"
"Lifted index","1.21"
"LIFT computed using virtual temperature","1.11"
"SWEAT index","169.61"
"K index","32.70"
"Cross totals index","18.40"
"Vertical totals index","22.90"
"Totals totals index","41.30"
"Convective Available Potential Energy","0.00"
"CAPE using virtual temperature","0.00"
"Convective Inhibition","0.00"
"CINS using virtual temperature","0.00"
"Bulk Richardson Number","0.00"
"Bulk Richardson Number using CAPV","0.00"
"Temp [K] of the Lifted Condensation Level","290.60"
"Pres [hPa] of the Lifted Condensation Level","912.93"
"Mean mixed layer potential temperature","298.28"
"Mean mixed layer mixing ratio","13.95"
